,Children,Age,Income,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Churn_Yes
0,0,68,28561.99,6.795512947,172.455519,904.5361102,0,0,1,0,0,0,0,1,0,1,0,0
1,1,27,21704.77,1.156680997,242.632554,800.9827661,0,0,1,0,1,0,0,0,1,0,0,1
2,4,50,9609.57,15.75414408,159.947583,2054.706961,0,0,1,0,0,0,0,1,1,0,0,0
3,1,48,18925.23,17.08722662,119.95684,2164.579412,0,1,0,0,1,0,0,0,0,1,0,0
4,0,83,40074.19,1.670971726,149.948316,271.4934362,0,1,0,0,0,0,1,0,0,1,0,1
5,3,83,22660.2,7.000993555,185.007692,1039.357983,0,0,1,0,0,1,0,0,1,0,0,0
6,0,79,11467.5,13.23677381,200.118516,1907.242972,0,1,0,0,0,0,0,1,0,1,0,1
7,2,30,26759.64,4.26425515,114.950905,979.6127078,0,1,0,0,1,0,0,0,1,0,0,1
8,2,49,58634.51,8.220686373,117.468591,1312.874964,0,1,0,0,0,0,1,0,0,0,1,0
9,1,86,50231.4,3.422086139,162.482694,508.7637913,1,0,0,0,1,0,0,0,1,0,0,0
10,7,23,22580.7,19.26726194,174.958118,2728.767869,0,0,1,0,0,0,1,0,1,0,0,0
11,2,56,18342.12,10.52199781,149.962093,1180.588788,1,0,0,0,1,0,0,0,1,0,0,0
12,0,83,83671.08,13.01149229,137.439154,1196.388018,1,0,0,1,0,0,0,0,0,1,0,0
13,5,29,115114.57,16.87922024,184.971516,1948.694497,0,0,1,0,0,0,1,0,1,0,0,0
14,1,30,64256.81,10.06019902,159.965581,1582.295235,0,0,1,0,0,0,1,0,0,1,0,1
15,3,39,89061.45,13.87001293,177.65076,1840.014467,0,1,0,1,0,0,0,0,0,1,0,1
16,0,63,31659.3,15.78214958,194.966286,2070.376729,0,0,1,0,1,0,0,0,1,0,0,1
17,2,60,44142.81,2.303331273,202.682861,882.0985933,1,0,0,0,0,0,1,0,0,1,0,1
18,3,61,39262.14,17.10995632,152.490739,1833.0967,1,0,0,0,0,0,0,1,1,0,0,0
19,3,23,19494.75,12.80615845,149.944668,1954.080809,1,0,0,1,0,0,0,0,0,1,0,1
20,4,38,39624.21,20.45390977,184.978458,2330.319383,1,0,0,0,0,1,0,0,0,1,0,0
21,3,30,45714.47,2.415991977,127.495766,594.1054279,0,1,0,1,0,0,0,0,0,1,0,0
22,3,52,27442.03,6.652298992,124.964303,713.0633088,0,0,1,0,0,0,0,1,0,1,0,0
23,2,68,79699.62,8.543717478,149.948316,945.3802928,0,0,1,1,0,0,0,0,0,1,0,0
24,3,75,28520.32,5.770390256,162.511928,870.76398,1,0,0,0,0,0,0,1,1,0,0,1
25,1,77,12558.83,4.157658837,92.455141,774.2937069,0,1,0,0,0,0,1,0,0,1,0,1
26,1,47,8762.23,10.40566091,222.649979,1506.446527,1,0,0,0,1,0,0,0,1,0,0,1
27,0,70,43882.72,1.392421597,139.981577,419.0508708,0,0,1,0,0,0,0,1,1,0,0,1
28,3,20,10482.52,1.430386349,200.132293,1259.415493,0,0,1,0,0,0,1,0,1,0,0,1
29,4,69,33442.79,5.425864884,257.651257,1745.125956,0,1,0,0,0,1,0,0,0,1,0,1
30,9,45,43383.54,11.08287797,230.105118,1795.465729,0,0,1,0,1,0,0,0,0,1,0,0
31,0,40,21793.88,3.586184954,147.489301,492.4771472,1,0,0,0,0,1,0,0,1,0,0,0
32,6,82,51960.51,4.727388465,230.105118,1013.993166,1,0,0,1,0,0,0,0,1,0,0,1
33,5,74,25942.1,20.89923386,174.958118,2680.762173,1,0,0,0,0,0,1,0,0,1,0,1
34,4,69,11211.59,3.471329958,267.664655,1081.814362,0,0,1,0,0,0,0,1,0,1,0,1
35,1,52,8283.29,5.478588204,162.483267,1209.961168,0,1,0,0,0,1,0,0,0,1,0,1
36,2,26,10114.81,3.312991809,229.993134,897.5919144,0,1,0,0,0,1,0,0,1,0,0,1
37,1,25,36229.21,7.161561527,140.00128,1340.930156,0,0,1,0,0,1,0,0,1,0,0,0
38,1,66,25397.44,9.847563364,184.964681,1113.993679,0,1,0,1,0,0,0,0,1,0,0,0
39,1,72,50336.5,16.04202196,147.473844,1530.10769,0,1,0,1,0,0,0,0,0,1,0,0
40,3,21,38211.37,9.179779682,172.457857,1310.137419,0,0,1,1,0,0,0,0,1,0,0,0
41,3,55,52887.26,3.002844144,107.481989,892.8964931,0,1,0,0,1,0,0,0,0,1,0,0
42,4,41,12003.33,3.924254455,255.141716,1125.581944,0,1,0,1,0,0,0,0,0,1,0,1
43,4,32,24090.62,18.55959629,192.456745,2016.710031,0,1,0,0,0,1,0,0,0,1,0,0
44,0,22,15137.93,8.798394712,242.632554,1412.736809,1,0,0,0,0,1,0,0,1,0,0,1
45,2,44,54458.38,10.377366,245.174977,1710.689671,0,0,1,1,0,0,0,0,1,0,0,1
46,2,23,132116.33,22.25746016,184.964681,2384.885909,0,1,0,1,0,0,0,0,0,1,0,1
47,3,43,37358.13,9.427146079,195.006206,1213.940165,0,1,0,0,0,1,0,0,1,0,0,1
48,1,86,26534.16,7.760290062,104.962874,740.010722,1,0,0,0,0,0,1,0,1,0,0,0
49,2,84,76430.83,11.56938439,92.488023,897.9716153,0,1,0,0,1,0,0,0,1,0,0,0
50,2,62,4662.37,3.343811019,184.979684,1026.387172,0,0,1,0,0,0,1,0,1,0,0,1
51,5,68,43820.85,7.338869531,187.656013,1234.244324,0,0,1,1,0,0,0,0,1,0,0,1
52,1,59,38391.55,5.486534225,149.962093,727.3731845,0,1,0,0,0,1,0,0,1,0,0,0
53,0,31,44137.6,1.55278221,169.944668,452.8721504,0,0,1,0,0,0,1,0,1,0,0,1
54,0,51,14364.65,12.07970325,160.00128,1296.674543,0,0,1,0,0,0,0,1,0,1,0,1
55,1,58,62359.91,13.98666226,129.962093,1840.628269,0,1,0,0,0,0,1,0,1,0,0,0
56,1,73,82634.86,9.563362997,114.950905,1324.330108,0,1,0,0,1,0,0,0,0,1,0,1
57,1,33,15690.25,6.732948946,142.515576,958.1397059,1,0,0,0,0,0,0,1,1,0,0,0
58,1,58,14568.7,15.72071086,220.14775,1868.864027,0,1,0,0,0,0,1,0,0,1,0,1
59,0,49,29207.46,7.233605493,124.97808,676.712908,1,0,0,0,0,1,0,0,1,0,0,0
60,1,26,55319.23,2.871017037,164.964681,1086.990308,0,1,0,0,0,1,0,0,1,0,0,0
61,1,25,81831.49,2.344875382,194.976769,704.7540406,0,0,1,0,0,0,0,1,0,1,0,0
62,0,42,100076.65,7.960490246,152.455519,1416.444695,1,0,0,0,0,0,1,0,1,0,0,1
63,1,81,69965.65,12.25062113,92.5018,1095.950634,1,0,0,0,0,0,0,1,0,1,0,0
64,1,43,34883.69,9.634946079,127.488728,1083.610268,0,1,0,1,0,0,0,0,1,0,0,0
65,2,63,45634.2,7.916533093,184.963371,1570.641337,0,0,1,0,0,1,0,0,0,1,0,0
